"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","0","0","988","988","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","50084","1000","0.0199664563533","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","None","NA","NA","NA","NA","space","None","988","NA","NA","NA","NA","32167","988","2","legacy","1024","2","48000","-16","BA_m21","167","odd","NW_S_COMP","ELMILT","1187","36388","34721","NA","33363","NA","NA","NA","NA","NA","35218","NA","34219","NA","34142","36385","1195","36588","NA","NA","35396","1187","1187","35788","34142","1187","35396","36588","morph21_Oliver/Morris","0","988","1","yes","1280","10"
"200","50","50","850.5","850.5","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","60584","1000","0.016506008187","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","z","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","713","NA","NA","NA","NA","32167","713","2","legacy","1024","2","48000","-16","BA_m21","167","odd","NW_S_COMP","DUMBIDY","1187","39513","37813","NA","33363","NA","NA","NA","NA","39504","38310","NA","37313","NA","37303","39504","1195","39713","NA","NA","38513","1187","1187","38904","37303","1187","38513","39713","morph21_Oliver/Morris","1","1701","2","yes","1280","12"
"300","66.6666666667","66.6666666667","712.333333333","712.333333333","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","67035","1000","0.0149175803685","1","undefined","1","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","436","NA","NA","NA","NA","32167","436","2","legacy","1024","2","48000","-16","BA_m21","167","odd","NW_L_COMP","KINGILM","1187","44121","40930","42613","33363","NA","NA","NA","NA","42606","41427","NA","40421","NA","40415","42606","1195","44422","NA","NA","41613","1187","1187","42005","40415","1187","41613","44422","morph21_Oliver/Morris","2","2137","3","yes","1280","19"
"250","75","75","707.25","707.25","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","61387","1000","0.0162900939938","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","/","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","692","NA","NA","NA","NA","32167","692","2","legacy","1024","2","48000","-16","BA_m21","167","odd","CW_S","MOSSY","1187","47397","45680","42613","33363","NA","NA","NA","NA","47388","46177","NA","45172","NA","45164","47388","1195","47647","NA","NA","46397","1187","1187","46788","45164","1187","46397","47647","morph21_Oliver/Morris","3","2829","4","yes","1280","47"
"250","80","80","679.8","679.8","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","56516","1000","0.0176941043244","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","570","NA","NA","NA","NA","32167","570","2","legacy","1024","2","48000","-16","BA_m21","167","odd","CW_S","TUTORING","1187","50648","48948","42613","33363","NA","NA","NA","NA","50640","49445","NA","48447","NA","48436","50640","1195","50898","NA","NA","49648","1187","1187","50039","48436","1187","49648","50898","morph21_Oliver/Morris","4","3399","5","yes","1280","27"
"200","83.3333333333","83.3333333333","684.333333333","684.333333333","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","59621","1000","0.0167726136764","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","z","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","707","NA","NA","NA","NA","32167","707","2","legacy","1024","2","48000","-16","BA_m21","167","odd","NW_L_COMP","FLIPODY","1187","55348","52123","53839","33363","NA","NA","NA","NA","53836","52620","NA","51623","NA","51616","53836","1195","55548","NA","NA","52839","1187","1187","53239","51616","1187","52839","55548","morph21_Oliver/Morris","5","4106","6","yes","1280","16"
"400","71.4285714286","71.4285714286","680.285714286","680.285714286","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","61043","1000","0.0163818947299","0","undefined","0","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","/","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","z","NA","NA","NA","NA","space","z","656","NA","NA","NA","NA","32167","656","2","legacy","1024","2","48000","-16","BA_m21","167","odd","FILL_W","LITHE","1187","58473","56823","53839","33363","NA","NA","NA","NA","53836","57320","NA","56323","NA","56316","58469","1195","58873","NA","NA","57481","1187","1187","57873","56316","1187","57481","58873","morph21_Oliver/Morris","5","4762","7","yes","1280","23"
"400","75","75","666.5","666.5","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","65524","1000","0.0152615835419","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","570","NA","NA","NA","NA","32167","570","2","legacy","1024","2","48000","-16","BA_m21","167","odd","CW_L","STYLISH","1187","61806","60098","53839","33363","NA","NA","NA","NA","61799","60595","NA","59598","NA","59594","61799","1195","62207","NA","NA","60807","1187","1187","61198","59594","1187","60807","62207","morph21_Oliver/Morris","6","5332","8","yes","1280","29"
"300","77.7777777778","77.7777777778","664.333333333","664.333333333","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","64096","1000","0.0156015976036","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","647","NA","NA","NA","NA","32167","647","2","legacy","1024","2","48000","-16","BA_m21","167","odd","CW_S","BUYER","1187","66608","63415","65098","33363","NA","NA","NA","NA","65095","63912","NA","62907","NA","62896","65095","1195","66908","NA","NA","64098","1187","1187","64498","62896","1187","64098","66908","morph21_Oliver/Morris","7","5979","9","yes","1280","21"
"250","80","80","655.8","655.8","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","57207","1000","0.0174803782754","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","/","03/21/19 16:53:48","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-167.csv","xpyriment","Kafkaesque Koffka","3.2.5","0","/","NA","NA","NA","NA","space","/","579","NA","NA","NA","NA","32167","579","2","legacy","1024","2","48000","-16","BA_m21","167","odd","FILL_W","TREAT","1187","69800","68116","65098","33363","NA","NA","NA","NA","69789","68613","NA","67616","NA","67604","69789","1195","70050","NA","NA","68799","1187","1187","69191","67604","1187","68799","70050","morph21_Oliver/Morris","8","6558","10","yes","1280","48"
