 DRESSODY,NW_L_SIMP,206,21
 DRESSORY,NW_L_COMP,204,21
ACREMANT,NW_S_SIMP,205,16
ACREMENT,NW_S_COMP,203,16
ADDMANT,NW_L_SIMP,206,13
ADDMENT,NW_L_COMP,204,13
ADOPTISH,NW_S_COMP,203,19
ADOPTISH,NW_S_SIMP,205,19
ADVERTISELA,NW_S_SIMP,205,25
ADVERTISELY,NW_S_COMP,203,25
AGREELA,NW_L_SIMP,206,24
AGREELY,NW_L_COMP,204,24
AIDIC,NW_S_COMP,203,4
AIDIG,NW_S_SIMP,205,4
ALTARIC,NW_S_COMP,203,7
ALTARIG,NW_S_SIMP,205,7
ANGELISH,NW_L_COMP,204,7
ANGELITH,NW_L_SIMP,206,7
ANTILM,NW_S_SIMP,205,8
ANTISM,NW_S_COMP,203,8
ARIDILM,NW_S_SIMP,205,9
ARIDISM,NW_S_COMP,203,9
BANDADY,NW_L_SIMP,206,3
BANDARY,NW_L_COMP,204,3
BASKODY,NW_S_SIMP,205,10
BASKORY,NW_S_COMP,203,10
BEANISH,NW_L_COMP,204,8
BEANITH,NW_L_SIMP,206,8
BEARILT,NW_L_SIMP,206,25
BEARIST,NW_L_COMP,204,25
BEEREL,NW_S_SIMP,205,5
BEERER,NW_S_COMP,203,5
BEGENCE,NW_L_COMP,204,4
BEGENGE,NW_L_SIMP,206,4
BINDIC,NW_L_COMP,204,22
BINDIG,NW_L_SIMP,206,22
BLOODEL,NW_L_SIMP,206,24
BLOODER,NW_L_COMP,204,24
BOGADY,NW_L_SIMP,206,2
BOGARY,NW_L_COMP,204,2
BOIL,NW_L_SIMP,206,18
BOILOUS,NW_L_COMP,204,18
BOLTOES,NW_S_SIMP,205,13
BOLTOUS,NW_S_COMP,203,13
BRANCHEL,NW_S_SIMP,205,16
BRANCHER,NW_S_COMP,203,16
BREAKIDY,NW_L_SIMP,206,23
BREAKITY,NW_L_COMP,204,23
CLASSOES,NW_L_SIMP,206,18
CLASSOUS,NW_L_COMP,204,18
COLDIDY,NW_L_SIMP,206,10
COLDITY,NW_L_COMP,204,10
CRITICANCE,NW_L_COMP,204,22
CRITICANGE,NW_L_SIMP,206,22
CURTIDY,NW_S_SIMP,205,11
CURTITY,NW_S_COMP,203,11
DEBTISH,NW_S_COMP,203,22
DEBTITH,NW_S_SIMP,205,22
DIGODY,NW_S_SIMP,205,11
DIGORY,NW_S_COMP,203,11
DUMBIDY,NW_S_SIMP,205,12
DUMBITY,NW_S_COMP,203,12
EARILT,NW_L_SIMP,206,12
EARIST,NW_L_COMP,204,12
EJECTENCE,NW_S_COMP,203,20
EJECTENGE,NW_S_SIMP,205,20
ELBOWILM,NW_L_SIMP,206,10
ELBOWISM,NW_L_COMP,204,10
ELMILT,NW_S_SIMP,205,10
ELMIST,NW_S_COMP,203,10
EMPLOYNELS,NW_L_SIMP,206,21
EMPLOYNESS,NW_L_COMP,204,21
FANFIL,NW_S_SIMP,205,6
FANFUL,NW_S_COMP,203,6
FELLOWOES,NW_L_SIMP,206,17
FELLOWOUS,NW_L_COMP,204,17
FEVERIME,NW_S_SIMP,205,24
FEVERIZE,NW_S_COMP,203,24
FIENDILM,NW_S_SIMP,205,24
FIENDISM,NW_S_COMP,203,24
FIGEL,NW_S_SIMP,205,4
FIGER,NW_S_COMP,203,4
FLIPODY,NW_L_SIMP,206,16
FLIPORY,NW_L_COMP,204,16
FLITENCE,NW_L_COMP,204,3
FLITENGE,NW_L_SIMP,206,3
FREENELS,NW_L_SIMP,206,15
FREENESS,NW_L_COMP,204,15
GASFIL,NW_L_SIMP,206,6
GASFUL,NW_L_COMP,204,6
GROWILT,NW_L_SIMP,206,20
GROWIST,NW_L_COMP,204,20
GUMFIL,NW_S_SIMP,205,2
GUMFUL,NW_S_COMP,203,2
HABITIC,NW_L_COMP,204,7
HABITIG,NW_L_SIMP,206,7
HAPPENANCE,NW_S_COMP,203,2
HAPPENANGE,NW_S_SIMP,205,2
HEIGHTENCE,NW_S_COMP,203,18
HEIGHTENGE,NW_S_SIMP,205,18
HEIRIC,NW_S_COMP,203,3
HEIRIG,NW_S_SIMP,205,3
HELMETOES,NW_S_SIMP,205,14
HELMETOUS,NW_S_COMP,203,14
HUMIDOES,NW_S_SIMP,205,25
HUMIDOUS,NW_S_COMP,203,25
ILLILT,NW_L_SIMP,206,9
ILLIST,NW_L_COMP,204,9
IME,NW_L_SIMP,206,20
INKILM,NW_L_SIMP,206,8
INKISM,NW_L_COMP,204,8
JAWLA,NW_S_SIMP,205,7
JAWLY,NW_S_COMP,203,7
KINGILM,NW_L_SIMP,206,19
KINGISM,NW_L_COMP,204,19
LIDADY,NW_S_SIMP,205,3
LIDARY,NW_S_COMP,203,3
LONGNELS,NW_L_SIMP,206,17
LONGNESS,NW_L_COMP,204,17
MEDICALADY,NW_S_SIMP,205,18
MEDICALARY,NW_S_COMP,203,18
MELTANCE,NW_S_COMP,203,1
MELTANGE,NW_S_SIMP,205,1
MOUTHIME,NW_L_SIMP,206,11
MOUTHIZE,NW_L_COMP,204,11
MUDLA,NW_L_SIMP,206,12
MUDLY,NW_L_COMP,204,12
NEXTNELS,NW_S_SIMP,205,9
NEXTNESS,NW_S_COMP,203,9
NORTHIZE,NW_L_COMP,204,20
NULLISH,NW_S_COMP,203,23
NULLITH,NW_S_SIMP,205,23
NUTLA,NW_L_SIMP,206,14
NUTLY,NW_L_COMP,204,14
OPPOSEMANT,NW_S_SIMP,205,8
OPPOSEMENT,NW_S_COMP,203,8
PASSMANT,NW_L_SIMP,206,14
PASSMENT,NW_L_COMP,204,14
PICKENCE,NW_L_COMP,204,5
PICKENGE,NW_L_SIMP,206,5
PILLIME,NW_S_SIMP,205,13
PILLIZE,NW_S_COMP,203,13
PITCHODY,NW_L_SIMP,206,25
PITCHORY,NW_L_COMP,204,25
POORIDY,NW_L_SIMP,206,13
POORITY,NW_L_COMP,204,13
PRAYANCE,NW_L_COMP,204,1
PRAYANGE,NW_L_SIMP,206,1
PRINCEMANT,NW_S_SIMP,205,17
PRINCEMENT,NW_S_COMP,203,17
RAMPIME,NW_S_SIMP,205,6
RAMPIZE,NW_S_COMP,203,6
RIPENCE,NW_L_COMP,204,4
RIPENGE,NW_L_SIMP,206,4
SCHEMENELS,NW_S_SIMP,205,15
SCHEMENESS,NW_S_COMP,203,15
SHEETEL,NW_L_SIMP,206,5
SHEETER,NW_L_COMP,204,5
SHOOTMANT,NW_L_SIMP,206,16
SHOOTMENT,NW_L_COMP,204,16
SMOOTHFIL,NW_L_SIMP,206,19
SMOOTHFUL,NW_L_COMP,204,19
SOCKETEL,NW_S_SIMP,205,1
SOCKETER,NW_S_COMP,203,1
STIRANCE,NW_L_COMP,204,1
STIRANGE,NW_L_SIMP,206,1
TAXFIL,NW_L_SIMP,206,6
TAXFUL,NW_L_COMP,204,6
THRILLANCE,NW_S_COMP,203,22
THRILLANGE,NW_S_SIMP,205,22
TILTADY,NW_S_SIMP,205,17
TILTARY,NW_S_COMP,203,17
TOWERLA,NW_L_SIMP,206,15
TOWERLY,NW_L_COMP,204,15
TREASONIME,NW_S_SIMP,205,14
TREASONIZE,NW_S_COMP,203,14
TRIPADY,NW_L_SIMP,206,2
TRIPARY,NW_L_COMP,204,2
TRUENELS,NW_S_SIMP,205,15
TRUENESS,NW_S_COMP,203,15
URNILT,NW_S_SIMP,205,5
URNIST,NW_S_COMP,203,5
VALIDEL,NW_L_SIMP,206,23
VALIDER,NW_L_COMP,204,23
WARNODY,NW_S_SIMP,205,12
WARNORY,NW_S_COMP,203,12
WELDIC,NW_S_COMP,203,21
WELDIG,NW_S_SIMP,205,21
WIGISH,NW_L_COMP,204,9
WIGITH,NW_L_SIMP,206,9
WINKIDY,NW_S_SIMP,205,21
WINKITY,NW_S_COMP,203,21
WITCHISH,NW_L_COMP,204,11
WITCHITH,NW_L_SIMP,206,11
YANKODY,NW_S_SIMP,205,23
YANKORY,NW_S_COMP,203,23
YIELDILT,NW_S_SIMP,205,20
YIELDIST,NW_S_COMP,203,20
ZOOMFIL,NW_S_SIMP,205,19
ZOOMFUL,NW_S_COMP,203,19
