"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_AB_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_AB_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"200","0","0","993","993","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","56414","1000","0.0177260963591","0","undefined","0","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","z","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","None","NA","NA","NA","NA","return","None","993","NA","NA","NA","NA","155001","993","2","legacy","1024","2","48000","-16","AB_m21","120","even","FILL_NW","GILN","1379","159340","157756","NA","156389","NA","NA","NA","NA","NA","158253","NA","157251","NA","157181","159333","1387","159540","NA","NA","158340","1379","1379","158731","157181","1379","158340","159540","morph21_Oliver/Morris","0","993","1","yes","1280","25"
"250","50","50","884","884","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","71289","1000","0.0140274095583","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","775","NA","NA","NA","NA","155001","775","2","legacy","1024","2","48000","-16","AB_m21","120","even","FILL_W","STARVE","1379","162357","160748","NA","156389","NA","NA","NA","NA","162349","161245","NA","160248","NA","160244","162349","1387","162607","NA","NA","161357","1379","1379","161748","160244","1379","161357","162607","morph21_Oliver/Morris","1","1768","2","yes","1280","15"
"250","33.3333333333","33.3333333333","818.666666667","818.666666667","black","no","xpyriment","legacy","legacy","0","205","NA","uniform","66873","1000","0.014953718242","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","688","NA","NA","NA","NA","155001","688","2","legacy","1024","2","48000","-16","AB_m21","120","even","NW_S_SIMP","ZOOMFIL","1379","166840","163740","165332","156389","NA","NA","NA","NA","162349","164237","NA","163240","NA","163236","165324","1387","167090","NA","NA","164332","1379","1379","164723","163236","1379","164332","167090","morph21_Oliver/Morris","1","2456","3","yes","1280","19"
"250","50","50","803.75","803.75","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","66636","1000","0.0150069031755","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","return","z","759","NA","NA","NA","NA","155001","759","2","legacy","1024","2","48000","-16","AB_m21","120","even","NW_L_SIMP","BEARILT","1379","169923","168348","165332","156389","NA","NA","NA","NA","169920","168846","NA","167848","NA","167844","169920","1387","170173","NA","NA","168932","1379","1379","169323","167844","1379","168932","170173","morph21_Oliver/Morris","2","3215","4","yes","1280","25"
"400","60","60","744","744","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","80480","1000","0.0124254473161","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","/","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","505","NA","NA","NA","NA","155001","505","2","legacy","1024","2","48000","-16","AB_m21","120","even","CW_L","LOCKER","1379","172891","171307","165332","156389","NA","NA","NA","NA","172886","171804","NA","170807","NA","170802","172886","1387","173291","NA","NA","171891","1379","1379","172291","170802","1379","171891","173291","morph21_Oliver/Morris","3","3720","5","yes","1280","8"
"300","66.6666666667","66.6666666667","747.166666667","747.166666667","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","65176","1000","0.0153430710691","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","763","NA","NA","NA","NA","155001","763","2","legacy","1024","2","48000","-16","AB_m21","120","even","CW_S","BUYER","1379","177533","174433","176025","156389","NA","NA","NA","NA","176021","174930","NA","173933","NA","173925","176021","1387","177833","NA","NA","175025","1379","1379","175425","173925","1379","175025","177833","morph21_Oliver/Morris","4","4483","6","yes","1280","21"
"200","71.4285714286","71.4285714286","741.571428571","741.571428571","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","67062","1000","0.014911574364","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","return","z","708","NA","NA","NA","NA","155001","708","2","legacy","1024","2","48000","-16","AB_m21","120","even","FILL_NW","PUCTS","1379","180600","179000","176025","156389","NA","NA","NA","NA","180597","179497","NA","178500","NA","178492","180597","1387","180800","NA","NA","179608","1379","1379","180000","178492","1379","179608","180800","morph21_Oliver/Morris","5","5191","7","yes","1280","40"
"400","75","75","707.75","707.75","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","71386","1000","0.014008348976","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","return","/","471","NA","NA","NA","NA","155001","471","2","legacy","1024","2","48000","-16","AB_m21","120","even","FILL_W","EAT","1379","183525","181942","176025","156389","NA","NA","NA","NA","183518","182439","NA","181442","NA","181437","183518","1387","183925","NA","NA","182525","1379","1379","182917","181437","1379","182525","183925","morph21_Oliver/Morris","6","5662","8","yes","1280","25"
"350","77.7777777778","77.7777777778","698.777777778","698.777777778","black","no","xpyriment","legacy","legacy","0","206","NA","uniform","71159","1000","0.0140530361585","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","z","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","return","z","627","NA","NA","NA","NA","155001","627","2","legacy","1024","2","48000","-16","AB_m21","120","even","NW_L_SIMP","CRITICANGE","1379","188292","185192","186784","156389","NA","NA","NA","NA","186774","185689","NA","184692","NA","184684","186774","1387","188642","NA","NA","185784","1379","1379","186175","184684","1379","185784","188642","morph21_Oliver/Morris","7","6289","9","yes","1280","22"
"200","80","80","693.7","693.7","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","66953","1000","0.014935850522","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","12/10/17 12:33:14","The main experiment item","yes","FIN__AB__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-120.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","return","z","648","NA","NA","NA","NA","155001","648","2","legacy","1024","2","48000","-16","AB_m21","120","even","NW_S_COMP","ELMIST","1379","191451","189851","186784","156389","NA","NA","NA","NA","191448","190349","NA","189351","NA","189349","191448","1387","191651","NA","NA","190460","1379","1379","190851","189349","1379","190460","191651","morph21_Oliver/Morris","8","6937","10","yes","1280","10"
