"ITI","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","cond_trig","condtrigtime","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_instructions_1","correct_new_keyboard_response_1","count_BA_m21","count_ITI","count_blank_screen","count_blink_screen","count_block1","count_break1","count_break2","count_break3_1","count_canvas","count_correct_trigger","count_def_chain","count_end_screen","count_fixation_1","count_getting_started","count_inc_counter","count_incorrect_trigger","count_instructions_1","count_logger","count_logscript","count_new_coroutines","count_new_inline_script","count_new_keyboard_response_1","count_reset_counter_prep","count_reset_counter_run","count_responsescreen","count_sequence","count_start_trigger","count_target_present","count_word_trigger","counter","cresp","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_block1","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_break1","response_break2","response_break3_1","response_end_screen","response_instructions_1","response_new_keyboard_response_1","response_time","response_time_break1","response_time_break2","response_time_break3_1","response_time_end_screen","response_time_instructions_1","response_time_new_keyboard_response_1","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","targ_type","target","time_BA_m21","time_ITI","time_blank_screen","time_blink_screen","time_block1","time_break1","time_break2","time_break3_1","time_canvas","time_correct_trigger","time_def_chain","time_end_screen","time_fixation_1","time_getting_started","time_inc_counter","time_incorrect_trigger","time_instructions_1","time_logger","time_logscript","time_new_inline_script","time_new_keyboard_response_1","time_reset_counter_prep","time_reset_counter_run","time_responsescreen","time_sequence","time_start_trigger","time_target_present","time_word_trigger","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word_trig"
"350","100","100","827","827","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","65384","1000","0.0152942615931","1","undefined","1","0","0","0","0","0","0","0","0","NA","0","0","0","0","NA","0","0","0","0","NA","0","NA","0","0","0","0","0","0","0","0","1","/","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","0","0","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","827","NA","NA","NA","NA","166998","827","2","legacy","1024","2","48000","-16","BA_m21","113","odd","CW_S","STRANGENESS","1367","171227","169644","NA","168374","NA","NA","NA","NA","171223","170141","NA","169138","NA","169069","171223","1376","171577","NA","NA","170227","1367","1367","170627","169069","1367","170227","171577","morph21_Oliver/Morris","1","827","1","yes","1280","46"
"200","100","100","664.5","664.5","black","no","xpyriment","legacy","legacy","0","207","NA","uniform","76069","1000","0.0131459595893","1","undefined","1","0","1","1","1","0","1","1","1","NA","1","1","0","1","NA","1","1","0","1","NA","1","NA","1","0","0","1","1","0","1","1","2","/","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","1","1","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","502","NA","NA","NA","NA","166998","502","2","legacy","1024","2","48000","-16","BA_m21","113","odd","FILL_W","SAVE","1367","174511","172928","NA","168374","NA","NA","NA","NA","174508","173425","NA","172428","NA","172420","174508","1376","174711","NA","NA","173520","1367","1367","173911","172420","1367","173520","174711","morph21_Oliver/Morris","2","1329","2","yes","1280","46"
"350","66.6666666667","66.6666666667","592.666666667","592.666666667","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","82671","1000","0.0120961401217","0","undefined","0","0","2","2","2","0","2","2","2","NA","2","2","0","2","NA","2","2","0","2","NA","2","NA","2","0","0","2","2","0","2","2","3","z","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","2","2","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","449","NA","NA","NA","NA","166998","449","2","legacy","1024","2","48000","-16","BA_m21","113","odd","FILL_NW","BLANTH","1367","179145","176028","177637","168374","NA","NA","NA","NA","174508","176525","NA","175528","NA","175522","177634","1376","179495","NA","NA","176645","1367","1367","177037","175522","1367","176645","179495","morph21_Oliver/Morris","2","1778","3","yes","1280","3"
"300","75","75","656.5","656.5","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","62130","1000","0.0160952840818","1","undefined","1","0","3","3","3","0","3","3","3","NA","3","3","0","3","NA","3","3","0","3","NA","3","NA","3","0","0","3","3","0","3","3","4","z","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","3","3","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","848","NA","NA","NA","NA","166998","848","2","legacy","1024","2","48000","-16","BA_m21","113","odd","NW_L_COMP","ADDMANT","1367","182270","180662","177637","168374","NA","NA","NA","NA","182263","181159","NA","180162","NA","180153","182263","1376","182570","NA","NA","181270","1367","1367","181662","180153","1367","181270","182570","morph21_Oliver/Morris","3","2626","4","yes","1280","13"
"200","80","80","660","660","black","no","xpyriment","legacy","legacy","0","203","NA","uniform","66449","1000","0.0150491354272","1","undefined","1","0","4","4","4","0","4","4","4","NA","4","4","0","4","NA","4","4","0","4","NA","4","NA","4","0","0","4","4","0","4","4","5","z","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","4","4","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","674","NA","NA","NA","NA","166998","674","2","legacy","1024","2","48000","-16","BA_m21","113","odd","NW_S_COMP","ELMILT","1367","185412","183820","177637","168374","NA","NA","NA","NA","185402","184317","NA","183320","NA","183311","185402","1376","185612","NA","NA","184412","1367","1367","184804","183311","1367","184412","185612","morph21_Oliver/Morris","4","3300","5","yes","1280","10"
"200","83.3333333333","83.3333333333","650.666666667","650.666666667","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","78386","1000","0.0127573801444","1","undefined","1","0","5","5","5","0","5","5","5","NA","5","5","0","5","NA","5","5","0","5","NA","5","NA","5","0","0","5","5","0","5","5","6","/","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","5","5","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","604","NA","NA","NA","NA","166998","604","2","legacy","1024","2","48000","-16","BA_m21","113","odd","CW_L","COLLECTOR","1367","189880","186787","188370","168374","NA","NA","NA","NA","188366","187284","NA","186287","NA","186281","188366","1376","190080","NA","NA","187370","1367","1367","187770","186281","1367","187370","190080","morph21_Oliver/Morris","5","3904","6","yes","1280","46"
"250","85.7142857143","85.7142857143","650.571428571","650.571428571","black","no","xpyriment","legacy","legacy","0","204","NA","uniform","70132","1000","0.0142588262134","1","undefined","1","0","6","6","6","0","6","6","6","NA","6","6","0","6","NA","6","6","0","6","NA","6","NA","6","0","0","6","6","0","6","6","7","z","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","6","6","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","650","NA","NA","NA","NA","166998","650","2","legacy","1024","2","48000","-16","BA_m21","113","odd","NW_L_COMP","FREENELS","1367","192972","191388","188370","168374","NA","NA","NA","NA","192963","191885","NA","190888","NA","190883","192963","1376","193222","NA","NA","191972","1367","1367","192363","190883","1367","191972","193222","morph21_Oliver/Morris","6","4554","7","yes","1280","15"
"300","87.5","87.5","640.75","640.75","black","no","xpyriment","legacy","legacy","0","202","NA","uniform","69756","1000","0.0143356843856","1","undefined","1","0","7","7","7","0","7","7","7","NA","7","7","0","7","NA","7","7","0","7","NA","7","NA","7","0","0","7","7","0","7","7","8","/","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","7","7","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","572","NA","NA","NA","NA","166998","572","2","legacy","1024","2","48000","-16","BA_m21","113","odd","CW_L","WEEDY","1367","196122","194513","188370","168374","NA","NA","NA","NA","196119","195011","NA","194013","NA","194004","196119","1376","196422","NA","NA","195130","1367","1367","195522","194004","1367","195130","196422","morph21_Oliver/Morris","7","5126","8","yes","1280","48"
"400","88.8888888889","88.8888888889","626.111111111","626.111111111","black","no","xpyriment","legacy","legacy","0","201","NA","uniform","81572","1000","0.0122591085176","1","undefined","1","0","8","8","8","0","8","8","8","NA","8","8","0","8","NA","8","8","0","8","NA","8","NA","8","0","0","8","8","0","8","8","9","/","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","8","8","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","/","NA","NA","NA","NA","space","/","509","NA","NA","NA","NA","166998","509","2","legacy","1024","2","48000","-16","BA_m21","113","odd","CW_S","EFFORTLESS","1367","200797","197697","199289","168374","NA","NA","NA","NA","199283","198194","NA","197197","NA","197186","199283","1376","201197","NA","NA","198289","1367","1367","198680","197185","1367","198289","201197","morph21_Oliver/Morris","8","5635","9","yes","1280","30"
"400","90","90","646.9","646.9","black","no","xpyriment","legacy","legacy","0","208","NA","uniform","62199","1000","0.0160774288976","1","undefined","1","0","9","9","9","0","9","9","9","NA","9","9","0","9","NA","9","9","0","9","NA","9","NA","9","0","0","9","9","0","9","9","10","z","11/01/17 16:33:09","The main experiment item","yes","FIN__BA__M21__7%3A10%3A17.osexp","C:\Users\ERP Testing Room\Desktop\Joanna\morph21","no","mono","no","18","no","white","no","yes","1080","legacy","9","9","C:/Users/ERP Testing Room/Desktop/Joanna/morph21/subject-113.csv","xpyriment","Jazzy James","3.1.4","0","z","NA","NA","NA","NA","space","z","834","NA","NA","NA","NA","166998","834","2","legacy","1024","2","48000","-16","BA_m21","113","odd","FILL_NW","DROES","1367","203972","202380","199289","168374","NA","NA","NA","NA","203965","202878","NA","201880","NA","201876","203965","1376","204372","NA","NA","202972","1367","1367","203364","201876","1367","202972","204372","morph21_Oliver/Morris","9","6469","10","yes","1280","17"
